Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Recurrent Budget Estimates,KALUNGU District,Central Government,"33,206",o/w Kyamuliibwa Town Council,2017/18 Draft Estimates,Vote:598,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"72,871",o/w Lukaya Town Council,2017/18 Draft Estimates,Vote:598,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"408,836",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"1,102,755",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"124,383",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"212,350",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"241,984",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:598,,Programme  04 Production and Marketing
Recurrent Budget Estimates,KALUNGU District,Central Government,"30,056",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  04 Production and Marketing
Recurrent Budget Estimates,KALUNGU District,Central Government,"1,383,834",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:598,,Programme  05 Health
Recurrent Budget Estimates,KALUNGU District,Central Government,"1,383,834",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:598,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,KALUNGU District,Central Government,"386,894",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  05 Health
Recurrent Budget Estimates,KALUNGU District,Central Government,"199,907",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,KALUNGU District,Central Government,"186,987",o/w Primary Healthcare - Hospital Non Wage Recurrent,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,KALUNGU District,Central Government,"9,198,712",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:598,,Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"7,200,045",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:598,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"1,890,013",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:598,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"108,654",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:598,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"2,106,583",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"33,855",o/w Inspection,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"509,069",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"1,414,179",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"149,479",o/w Skills Development - Non Wage Recurrent,2017/18 Draft Estimates,Vote:598,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KALUNGU District,Central Government,"33,119",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  07 Works
Recurrent Budget Estimates,KALUNGU District,Central Government,"3,966",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  08 Natural Resources
Recurrent Budget Estimates,KALUNGU District,Central Government,"35,894",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  09 Community Based Services
Development Budget Estimates,KALUNGU District,Central Government,"23,559",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:598,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,KALUNGU District,Central Government,"188,852",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:598,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,KALUNGU District,Central Government,"21,576",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:598,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,KALUNGU District,Central Government,"183,962",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:598,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,KALUNGU District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:598,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,KALUNGU District,Central Government,"174,185",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:598,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"63,474",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:598,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"13,910",o/w Kalungu Town Council,2017/18 Draft Estimates,Vote:598,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"8,432",o/w Kyamuliibwa Town Council,2017/18 Draft Estimates,Vote:598,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"41,132",o/w Lukaya Town Council,2017/18 Draft Estimates,Vote:598,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"100,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:598,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,"100,000",o/w Start-up Fund for Kyamulibwa TC,2017/18 Draft Estimates,Vote:598,321472  Transitional Development Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KALUNGU District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:598,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,LWENGO District,Central Government,"212,183",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"344,539",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"603,792",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:599,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"310,549",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:599,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"154,445",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:599,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"99,840",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:599,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"10,838",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:599,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"109,407",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"55,610",o/w Kyazanga Town Council,2017/18 Draft Estimates,Vote:599,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"53,797",o/w Lwengo Town Council,2017/18 Draft Estimates,Vote:599,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"294,641",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"1,042,190",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"99,482",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"83,392",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:599,,Programme  01 Administration
Recurrent Budget Estimates,LWENGO District,Central Government,"285,746",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:599,,Programme  04 Production and Marketing
Recurrent Budget Estimates,LWENGO District,Central Government,"44,877",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  04 Production and Marketing
Recurrent Budget Estimates,LWENGO District,Central Government,"1,686,665",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:599,,Programme  05 Health
Recurrent Budget Estimates,LWENGO District,Central Government,"1,686,665",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:599,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,LWENGO District,Central Government,"223,655",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  05 Health
Recurrent Budget Estimates,LWENGO District,Central Government,"223,655",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:599,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,LWENGO District,Central Government,"10,025,462",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:599,,Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"8,375,005",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:599,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"1,331,235",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:599,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"319,223",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:599,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"2,111,415",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"42,831",o/w Inspection,2017/18 Draft Estimates,Vote:599,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"584,783",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:599,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"1,326,439",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:599,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"157,362",o/w Skills Development - Non Wage Recurrent,2017/18 Draft Estimates,Vote:599,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,LWENGO District,Central Government,"37,817",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  07 Works
Recurrent Budget Estimates,LWENGO District,Central Government,"18,000",321469  Support Services Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  07 Works
Recurrent Budget Estimates,LWENGO District,Central Government,"6,359",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  08 Natural Resources
Recurrent Budget Estimates,LWENGO District,Central Government,"52,819",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:599,,Programme  09 Community Based Services
Development Budget Estimates,LWENGO District,Central Government,"42,458",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:599,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,LWENGO District,Central Government,"452,603",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:599,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,LWENGO District,Central Government,"21,576",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:599,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
