columnType,budgetType,value,year,vote,sp_pj,page,programme
Wage,Recurrent Budget Estimates,"410,000",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"152,500",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"385,724",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"1,303,079",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,"53,902,027",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"55,590,830",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"385,724",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"1,062,425",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,"70,043,505",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 11 Wildlife Conservation,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,816,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Development Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,817,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Development Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Development Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,818,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Development Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"165,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Development Budget Estimates,"204,276",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
GoU Dev't,Development Budget Estimates,"39,276",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
External Fin,Development Budget Estimates,"66,691",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 14 Directorate of TWCM,819,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"559,042",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"5,951,113",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"6,510,155",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"728,184",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"5,197,990",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 01 HQs and Administration,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"22,369",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 15 Internal Audit,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"68,018",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 15 Internal Audit,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 15 Internal Audit,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"90,387",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 15 Internal Audit,822,"Programmme 03  Tourism , Wildlife conservation and Museums"
